Link,IsHomepage,Textmatch_P,Textmatch_S,Textmatch_PP,Link_Match
http://www.ididata.com/idis-privacy-statement/,,ccpa||california consumer privacy act,right to know||authorized agent||not be discriminate,privacy policy,['privacy']
http://www.L2Political.com/l2-privacy-policy,,ccpa,right to know||right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://www.mchdata.com/about/privacy-policy,,ccpa||california consumer privacy act,right to know||right to access,privacy policy,"['privacy', 'policy']"
http://oncoreleads.com/california-privacy-rights/,,ccpa||california consumer privacy act,non-discrimination||not discriminate||authorized representative,privacy policy,['privacy']
https://cadent.tv/services-privacy-policy/,,ccpa||california consumer privacy act,non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://getrev.ai/privacy-policy/#compliance-and-protection,,ccpa||california consumer privacy act,nondiscrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://leadiq.com/legal/privacy-policy,,ccpa,right to access,privacy policy,"['privacy', 'policy']"
https://near.com/privacy-policy/,,ccpa||california consumer privacy act,non-discrimination||not discriminate,privacy policy,"['privacy', 'policy']"
https://sabio.inc/privacypolicy,,california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://scrapingrobot.com/privacy-policy/,,ccpa||california consumer privacy act,"only you, or a person registered with the california||non-discrimination||not discriminate||authorized representative",privacy policy,"['privacy', 'policy']"
https://smacomm.com/terms-conditions-privacy/,,ccpa||california consumer privacy act,"right to access||only you, or a person registered with the california||non-discrimination||not discriminate||authorized representative",privacy policy,['privacy']
https://videoamp.com/consumer-rights-under-ccpa/,,ccpa||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,['ccpa']
https://www.civisanalytics.com/privacy-policy/#cookie,,ccpa||california consumer privacy act,not discriminate,privacy policy,"['privacy', 'policy']"
https://www.ip2location.com/privacy-policy,,ccpa||california consumer privacy act,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.milestonemarketingsolutions.com/privacy-policy,,ccpa||california consumer privacy act,right to know||only you or a person registered with the california||non-discrimination||not discriminate,privacy policy,"['privacy', 'policy']"
https://www.mobilewalla.com/website-privacy,,ccpa||california consumer privacy act,not discriminate,privacy policy,['privacy']
https://www.openx.com/privacy-center/privacy-policy/,,ccpa||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.pbinfo.com/ca-privacy-policy/,,ccpa||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized representative,privacy policy,"['privacy', 'policy']"
https://www.realitydebtsolutions.com/ccpaprivacy/,,ccpa,right to know||right to access,privacy policy,"['privacy', 'ccpa']"
http://www.datapartners.com/privacy-policy,,ccpa||california consumer privacy act,not discriminate,privacy policy,"['privacy', 'policy']"
http://www.datonics.com/website-privacy-policy,,ccpa||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
http://www.getemails.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||nondiscrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://www.jdmlistservices.com/privacy-policy,,ccpa||california consumer privacy act,non-discrimination||not discriminate||authorized representative,privacy policy,"['privacy', 'policy']"
http://www.jmr-media.com/privacy,,ccpa||california consumer privacy act,non-discrimination||not discriminate||authorized representative,privacy policy,['privacy']
http://www.peopledatalabs.com/privacy/privacy-policy,,ccpa||california consumer privacy act,authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
http://www.richmediallc.com/privacy-policy/,,ccpa||california consumer privacy act,non-discrimination||not discriminate||authorized representative,privacy policy,"['privacy', 'policy']"
http://www.v12data.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||right to access||not be discriminate,privacy policy,"['privacy', 'policy']"
http://amplemarket.com/ccpa,,ccpa||california consumer privacy act,non-discrimination||not discriminate,privacy policy,['ccpa']
http://decide.co/privacy,,ccpa||california consumer privacy act,authorized agent||not be discriminate,privacy policy,['privacy']
http://leadmemedia.com/CCPA/CCPA_notice.html,,ccpa||california consumer privacy act,right to know||only you or a person registered with the california||non-discrimination||authorized agent,privacy policy,['ccpa']
http://rampedup.io/privacy-policy-1,,ccpa||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://demandscience.com/privacy-policy-ccpa/,,ccpa||california consumer privacy act,,,"['privacy', 'policy', 'ccpa']"
https://finthrive.com/privacy-notice-for-california-residents?,,ccpa||california consumer privacy act,right to know||not discriminate||authorized agent||authorized representative,privacy policy,['privacy']
https://grata.com/legal/privacy-policy,,ccpa||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
