Link,IsHomepage,Textmatch_P,Textmatch_S,Textmatch_PP,Link_Match
http://boostmobile.com/content/boost/us/en/support/legal/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
http://chick-fil-a.com/legal/privacy/california-privacy-policy,,ccpa||california privacy||california consumer privacy,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://dailywire.com/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent,privacy policy,['privacy']
http://food52.com/p/privacy,,ccpa||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,['privacy']
http://humblebundle.com/privacy,,california privacy,right to know||not be discriminate,privacy policy,['privacy']
http://ifixit.com/Info/Privacy,,ccpa||california consumer privacy||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized representative,privacy policy,['privacy']
http://iheart.com/privacy/,,california privacy,right to know||authorized agent,privacy policy,['privacy']
http://investing.com/about-us/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||non discrimination||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
http://leafly.com/info/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
http://lg.com/us/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,nondiscrimination||authorized agent,privacy policy,['privacy']
http://livejasmin.com/en/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://medallia.com/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,authorized agent,privacy policy,"['privacy', 'policy']"
http://mercari.com/us/help_center/topics/trust/policies/mercari-privacy-policy/,,ccpa||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
http://midwayusa.com/help/midwayusa-privacy-notice,,ccpa||california consumer privacy||california consumer privacy act,not discriminate||authorized agent||not be discriminate,privacy policy,['privacy']
http://myfitnesspal.com/privacy-policy#interest-based-advertising,,california privacy,right to know||right to access||non-discrimination||not discriminate,privacy policy,"['privacy', 'policy']"
http://mysynchrony.com/s/legal/privacy-policy.html,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://netgear.com/about/privacy-policy/,,california privacy||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://nissanusa.com/privacy.html#categories-information-collect-disclose,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent,privacy policy,['privacy']
http://officedepot.com/l/help/privacy-statement?cm_sp=FooterLink-_-privacystatement,,california consumer privacy||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized representative,privacy policy,['privacy']
http://okta.com/privacy-policy/,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://olivegarden.com/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://oracle.com/legal/privacy/advertising-privacy-policy.html#adchoices,,ccpa||california consumer privacy||california consumer privacy act,right to access||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://partycity.com/privacy.html,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||nondiscrimination||authorized agent,privacy policy,['privacy']
http://pgatour.com/company/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,right to know,privacy policy,"['privacy', 'policy']"
http://poshmark.com/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,not discriminate||authorized agent,privacy policy,['privacy']
http://potterybarn.com/about-us/privacy-policy.html#financial-incentives,,california consumer privacy||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://shein.com/Privacy-Security-Policy-a-282.html#ps-t3,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://smartasset.com/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,authorized agent,privacy policy,['privacy']
http://staples.com/hc?id=dbb94c10-973c-478b-a078-00e58f66ba32,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized agent,privacy policy,[]
http://subaru.com/support/privacy-policies.html#additional-disclosures-for-ca-residents,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||not discriminate||authorized agent||authorized representative,privacy policy,['privacy']
http://syf.com/s/legal/privacy-policy.html,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://teacherspayteachers.com/Privacy-Policy,,ccpa,non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://thumbtack.com/privacy/#supplemental-privacy-notice-for-california-residents,,ccpa||california consumer privacy||california consumer privacy act,authorized agent||not be discriminate,privacy policy,['privacy']
http://truecar.com/privacy/,,california privacy||california consumer privacy||california consumer privacy act,right to access||non-discrimination||not discriminate||authorized agent,privacy policy,['privacy']
http://uhaul.com/Legal/PrivacyPolicy/,,ccpa||california privacy||california consumer privacy||california consumer privacy act,authorized representative,privacy policy,"['privacy', 'policy']"
http://usbank.com/about-us-bank/privacy/security.html#tracking,,california privacy,authorized representative,privacy policy,['privacy']
http://blogspot.com/go/privacy,,ccpa||california consumer privacy||california consumer privacy act,right to access||authorized agent||not be discriminate,privacy policy,['privacy']
http://homedepot.com/privacy/privacy-and-security-statement,,california privacy,right to know||non-discrimination||not discriminate||authorized agent,privacy policy,['privacy']
http://hulu.com/ca-privacy-rights,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||authorized agent,privacy policy,['privacy']
https://help.netflix.com/legal/privacy#cookies,,ccpa||california consumer privacy||california consumer privacy act,right to know||not discriminate||authorized agent,privacy policy,['privacy']
https://imgur.com/ccpa,,ccpa||california consumer privacy||california consumer privacy act,right to know||authorized agent,privacy policy,['ccpa']
https://www.washingtonpost.com/privacy-policy/,,ccpa||california consumer privacy||california consumer privacy act,authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
http://about.urbandictionary.com/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know,privacy policy,['privacy']
http://redfin.com/about/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://kb.newegg.com/Article/Index/12/3?id=1166,,ccpa||california privacy,right to access||not discriminate||authorized agent||not be discriminate,privacy policy,[]
https://www.apartments.com/about/privacy-notice,,california consumer privacy||california consumer privacy act,authorized agent,privacy policy,['privacy']
http://biblegateway.com/legal/privacy/,,california privacy,right to access,privacy policy,['privacy']
http://experian.com/privacy/index.html,,ccpa||california consumer privacy||california consumer privacy act,right to know,privacy policy,['privacy']
http://ziprecruiter.com/california-privacy-notice,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized agent||authorized representative,privacy policy,['privacy']
http://alltrails.com/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access||authorized agent,privacy policy,['privacy']
http://amctheatres.com/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know,privacy policy,"['privacy', 'policy']"
http://basspro.com/shop/en/privacy-policy-summary-bass-pro-shops,,california privacy||california consumer privacy||california consumer privacy act,non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://campingworld.com/helpcenter-ourpolicies/privacyPolicy.html#CAinfo,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://change.org/policies/privacy,,ccpa||california consumer privacy||california consumer privacy act,right to access||authorized agent,privacy policy,['privacy']
http://chick-fil-a.com/legal/privacy/chick-fil-a-privacy-policy,,ccpa||california privacy||california consumer privacy,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://discogs.com/help/doc/privacy-policy,,california privacy,right to know||right to access||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://donaldjtrump.com/privacy-policy,,california privacy,right to access,privacy policy,"['privacy', 'policy']"
http://downdetector.com/privacy.html,,california privacy,right to know||not be discriminate,privacy policy,['privacy']
http://everydayhealth.com/privacyterms/#everyday-health-terms-of-use,,ccpa||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,['privacy']
http://gettyimages.com/company/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,not be discriminate,privacy policy,"['privacy', 'policy']"
http://guitarcenter.com/pages/privacy-rights-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://kayak.com/privacy#ccpa,,california consumer privacy||california consumer privacy act,right to know||right to access||not discriminate||authorized agent,privacy policy,"['privacy', 'ccpa']"
http://kickstarter.com/privacy?ref=global-footer#privacy-information-for-california-residents,,ccpa||california consumer privacy||california consumer privacy act,authorized agent||not be discriminate,privacy policy,['privacy']
http://military.com/about-us/privacy-policy,,california privacy,right to know||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://mirror.co.uk/privacy-notice/,,ccpa||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,['privacy']
http://dailymail.co.uk/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access||not discriminate,privacy policy,['privacy']
http://npr.org/about-npr/179878450/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,authorized agent,privacy policy,"['privacy', 'policy']"
https://go.microsoft.com/fwlink/?LinkId=521839,,ccpa||california consumer privacy||california consumer privacy act,not discriminate||authorized agent,privacy policy,[]
https://www.foxnews.com/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||authorized agent,privacy policy,"['privacy', 'policy']"
